agent	command	group_index	logical_id	cardinality	track_current	path_patterns
s1-pm	/feasibility	1	feasibility-study	one	yes	stage1-planning/outputs/PM-*feasibility*.md
s1-pm	/vision	1	product-vision	one	yes	stage1-planning/outputs/PM-*vision*.md
s1-pmo	/charter	1	project-charter	one	yes	stage1-planning/outputs/PMO-*charter*.md
s1-pmo	/charter	2	project-constraints	one	yes	tracking/PMO-constraints.md
s1-pmo	/risks	1	risk-register	one	yes	stage1-planning/outputs/PMO-*risk-register*.md
s1-finance	/business-case	1	business-case	one	yes	stage1-planning/outputs/FIN-*business-case*.md
s0-quality-gates	/configure	1	quality-policy	one	yes	tracking/quality-gates.md
s0-quality-gates	/configure	2	quality-characteristics-index	one	yes	tracking/quality-characteristics-v1.tsv
s0-quality-gates	/configure	3	quality-characteristics-view	one	yes	tracking/quality-characteristics.md
s0-quality-gates	/configure	4	quality-policy-history	one-or-more	yes	tracking/quality-gates-history/revision-*.md|tracking/quality-policy-invalidations/revision-*.md
s2-ba	/extract-requirements	1	business-requirements	one	yes	stage2-requirements/outputs/BA-*BRD*.md|stage2-requirements/outputs/BA-*requirements*.md
s2-ba	/brd	1	business-requirements	one	yes	stage2-requirements/outputs/BA-*BRD*.md
s2-ba	/brd	2	nonfunctional-requirements	one	yes	stage2-requirements/outputs/BA-*NFR*.md
s2-ba	/brd	3	requirements-traceability	one	yes	stage2-requirements/outputs/BA-*RTM*.md
s2-po	/stories	1	product-backlog	one	yes	stage2-requirements/outputs/PO-*backlog*.md
s2-po	/stories	2	ux-requirements	one	yes	stage2-requirements/outputs/PO-*-ux-brief.md|stage2-requirements/outputs/PO-*-ux-not-applicable.md
s2-po	/stories	3	uat-criteria	one	yes	stage2-requirements/outputs/UAT-*-acceptance-criteria.md
s2-po	/stories	4	product-acceptance-index	one	yes	stage2-requirements/outputs/UAT-product-acceptance-v1.tsv
s2-qa-req	/testability-review	1	qa-requirements-review	one	yes	stage2-requirements/outputs/QA-REQ-*review*.md
s2-qa-req	/testability-review	2	qa-requirements-decision	one	yes	stage2-requirements/outputs/QA-REQ-review-v1.yaml
s2-test-strategy	/strategy	1	test-strategy	one	yes	stage2-requirements/outputs/QA-*test-strategy*.md
s2-security	/security-requirements	1	security-requirements	one	yes	stage2-requirements/outputs/SEC-*security-requirements*.md
s3-arch	/hld	1	high-level-design	one	yes	stage3-design/outputs/ARCH-*HLD*.md
s3-arch	/hld	2	api-contract	one	yes	stage3-design/outputs/ARCH-*api-spec*.yaml|stage3-design/outputs/ARCH-*api-not-applicable*.md
s3-arch	/adr	1	architecture-decisions	one-or-more	yes	stage3-design/outputs/ARCH-*ADR-*.md
s3-arch	/adr	2	architecture-decision-index	one	yes	stage3-design/outputs/ARCH-decision-trace-v1.tsv
s3-arch	/api-spec	1	api-contract	one	yes	stage3-design/outputs/ARCH-*api-spec*.yaml|stage3-design/outputs/ARCH-*api-not-applicable*.md
s3-security	/threat-model	1	threat-model	one	yes	stage3-design/outputs/SEC-*threat-model*.md
s3-rbac	/rbac-model	1	authorization-model	one	yes	stage3-design/outputs/RBAC-*model*.md|stage3-design/outputs/RBAC-*not-applicable*.md
s3-rbac	/rbac-model	2	authorization-matrix	one	yes	stage3-design/outputs/RBAC-*matrix*.md|stage3-design/outputs/RBAC-*not-applicable*.md
s3-dba	/schema	1	data-schema	one	yes	stage3-design/outputs/DBA-schema*|stage3-design/outputs/DBA-*schema*|stage3-design/outputs/DBA-*not-applicable*.md
s3-dba	/migration	1	migration-runbook	one	yes	stage3-design/outputs/DBA-*migration-runbook*.md|stage3-design/outputs/DBA-*migration-not-applicable*.md
s3-rbac	/rbac-matrix	1	authorization-matrix	one	yes	stage3-design/outputs/RBAC-*matrix*.md
s4-qa-auto	/write-tests	1	tdd-report	one	yes	stage4-dev/outputs/QA-*tdd-report*.md
s4-qa-auto	/write-tests	2	tdd-status	one	yes	stage4-dev/outputs/QA-TDD-status.md
s4-qa-auto	/run-tests	1	tdd-report	one	yes	stage4-dev/outputs/QA-*tdd-report*.md
s4-qa-auto	/run-tests	2	tdd-status	one	yes	stage4-dev/outputs/QA-TDD-status.md
s4-qa-auto	/run-tests	3	affected-tests	one	yes	stage4-dev/outputs/QA-affected-tests-v1.tsv
s4-dev	/dev-report	1	development-pr-summary	one-or-more	yes	stage4-dev/outputs/DEV-*PR-*-summary.md
s4-dev	/dev-report	2	development-update-notes	one-or-more	yes	stage4-dev/outputs/DEV-*update-notes-PR*.md
s4-dev	/update-notes	1	development-update-notes	one-or-more	yes	stage4-dev/outputs/DEV-*update-notes-PR*.md
s4-techlead	/review	1	techlead-reviews	one-or-more	yes	stage4-dev/outputs/TL-*review-PR*.md
launcher	/full-dod-approval	1	dod-approval	one	yes	tracking/approvals/APPROVAL-DOD-*.yaml
s5-qa	/test-plan	1	s5-test-plan	one	yes	stage5-testing/outputs/QA-*test-plan*.md
s5-qa	/test-plan	2	s5-test-cases	one-or-more	yes	stage5-testing/outputs/QA-*test-cases-*.md
s5-qa	/test-plan	3	s5-validation-index	one	yes	tracking/validation/S5-validation-v1.tsv
s5-qa-auto	/e2e-report	1	s5-automation-report	one	yes	stage5-testing/outputs/AUTO-*e2e-report*.md
s5-qa-auto	/e2e-report	2	s5-coverage-report	one	yes	stage5-testing/outputs/AUTO-*coverage*.md
s5-qa-auto	/e2e-report	3	s5-automation-raw	one	yes	tracking/validation/raw/automation.json
s5-qa-auto	/e2e-report	4	s5-validation-index	one	yes	tracking/validation/S5-validation-v1.tsv
s5-perf	/load-test	1	s5-performance-report	one	yes	stage5-testing/outputs/PERF-*report*.md
s5-perf	/load-test	2	s5-performance-raw	one	yes	tracking/validation/raw/performance.json
s5-perf	/load-test	3	s5-validation-index	one	yes	tracking/validation/S5-validation-v1.tsv
s5-security	/security-test	1	s5-security-report	one	yes	stage5-testing/outputs/SEC-*pentest-report*.md
s5-security	/security-test	2	s5-security-raw	one	yes	tracking/validation/raw/security.json
s5-security	/security-test	3	s5-validation-index	one	yes	tracking/validation/S5-validation-v1.tsv
s5-qa	/go-no-go	1	s5-exploratory-report	one	yes	stage5-testing/outputs/QA-*exploratory-report*.md
s5-qa	/go-no-go	2	s5-uat-results	one	yes	tracking/validation/raw/uat-results.tsv
s5-qa	/go-no-go	3	s5-validation-index	one	yes	tracking/validation/S5-validation-v1.tsv
s5-qa	/go-no-go	4	defect-register	one	yes	stage5-testing/outputs/DEF-*-defects*.md
s5-qa	/go-no-go	5	defect-index	one	yes	stage5-testing/outputs/DEF-defects-v1.tsv
s5-qa	/go-no-go	6	s5-test-analysis	one	yes	stage5-testing/outputs/QA-*test-analysis*.md
s5-qa	/go-no-go	7	gate5-decision	one	yes	stage5-testing/outputs/QA-*go-no-go*.md
s0-tracker	/report	1	cycle-summary	one	no	tracking/cycle-summary.md
s0-tracker	/report	2	completion-evidence-bundle	one	no	tracking/completion/CYCLE1-evidence-bundle-v1.tsv
s0-tracker	/report	3	cycle1-completion	one	no	tracking/completion/CYCLE1-completion-v2.yaml
s0-tracker	/release-notes	1	release-notes	one	no	tracking/releases/REL-{version}-release-notes.md
s0-kickoff	/product-ci-profile	1	product-ci-profile	one	yes	tracking/product-ci-profile.yaml
s0-kickoff	/product-ci-profile	2	product-ci-profile-history	one	no	tracking/product-ci-profile-history/revision-*.yaml
